,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,TMPID,UPLOAD_ID,latitude,longitude
756,1550004700,101,-,0,,dgsi,5,27000,155,,,35.861368993771556,128.6477680137302
757,1550003900,101,만촌네거리,1,,dgsi,5,27000,155,,,35.85892199424894,128.64602301391358
758,1520000200,101,두류네거리,1,,dgsi,5,27000,152,,,35.85790199401421,128.5574510126828
759,1570008700,103,-,0,,dgsi,5,27000,157,,,35.85819099350243,128.43503801327302
760,1550003600,101,-,0,,dgsi,5,27000,155,,,35.85658999349666,128.6506320127508
761,1550003400,101,-,1,,dgsi,5,27000,155,,,35.85508499387135,128.65339601387703
762,1550003300,101,-,0,,dgsi,5,27000,155,,,35.854560993372,128.65452801382557
763,1520000100,101,감삼사거리,1,,dgsi,5,27000,152,,,35.854332994029726,128.5480050131375
764,1550003200,101,-,0,,dgsi,5,27000,155,,,35.85320799318784,128.65851101432006
765,1550003100,101,-,0,,dgsi,5,27000,155,,,35.8530679942909,128.6593970127024
766,1550003000,104,담티교,0,,dgsi,5,27000,155,,,35.85085399365672,128.665283012716
767,1550002900,104,담티교,0,,dgsi,5,27000,155,,,35.850113994088936,128.66654101348817
768,1530000500,101,두류공원네거리,1,,dgsi,5,27000,153,,,35.84704199390264,128.5669460134561
769,1550002600,101,연호네거리,0,,dgsi,5,27000,155,,,35.84609299399307,128.67268501289934
770,1550002500,101,-,0,,dgsi,5,27000,155,,,35.84294599329338,128.69410901391842
771,1550002400,101,-,1,,dgsi,5,27000,155,,,35.84224299292605,128.69918301406048
772,1550002200,101,-,0,,dgsi,5,27000,155,,,35.8416449938037,128.7017680126197
773,1550002000,101,월드컵삼거리,0,,dgsi,5,27000,155,,,35.841446993885334,128.68535801295195
774,1550001900,101,신매네거리,1,,dgsi,5,27000,155,,,35.840885993502994,128.70498501348834
775,1550001600,101,매호네거리,1,,dgsi,5,27000,155,,,35.839271994320164,128.70935801331527
776,1530000300,101,두리봉네거리,1,,dgsi,5,27000,153,,,35.839937994464705,128.55932901300264
777,1530000200,101,성당네거리,1,,dgsi,5,27000,153,,,35.83765399441892,128.55754501331356
778,1550001300,105,중산삼거리,0,,dgsi,5,27000,155,,,35.83561499329241,128.72122601315766
779,1530000100,101,달성군청삼거리,1,,dgsi,5,27000,153,,,35.83527399356628,128.55590301383216
780,1550001100,101,상동교동편네거리,0,,dgsi,5,27000,155,,,35.83441999373367,128.606972013198
781,1550001000,101,범안삼거리,0,,dgsi,5,27000,155,,,35.833986994373745,128.67048201304604
782,1550000400,101,-,0,,dgsi,5,27000,155,,,35.829145993882086,128.6083320132231
783,1550000300,104,연호지하차도,0,,dgsi,5,27000,155,,,35.8280059939304,128.6665280133352
784,1550000200,101,수성못네거리,0,,dgsi,5,27000,155,,,35.82520599352231,128.60983401392966
785,1550000100,101,관계삼거리,0,,dgsi,5,27000,155,,,35.81893199299465,128.64946401328217
786,1570007700,105,-,0,,dgsi,5,27000,157,,,35.810866993694916,128.51591201367114
787,1570007500,104,가창교,0,,dgsi,5,27000,157,,,35.805913993877134,128.62320501335714
788,1570006900,104,화원교,0,,dgsi,5,27000,157,,,35.80244599381867,128.4953280133107
