,LINK_ID,Source,Target,ROAD_USE,LANES,ROAD_RANK,ROAD_NAME,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,ROAD_TYPE,ROAD_NO,TMPID,UPLOAD_ID,SOSFNODEID,SOSTNODEID,SHAPE_STLe
1545,1550014500,1550005900,1550006900,0,2.0,104,-,0,000,60.0,0,0.0,0.0,,nodelinkmanager,5,50000,155,000,-,,nodelinkmanager2017010410,,,657.75403646
1546,1510023400,1510001501,1510014600,0,5.0,104,-,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,620.471962713
1547,1510042300,1510009600,1510014600,0,5.0,104,-,0,000,80.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,298.804761584
1548,1540063600,1540022100,1540021800,1,4.0,104,물류로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,-,,nodelinkmanager2017010410,,,325.53858069
1549,1560068800,1560021900,1560020600,0,5.0,104,서재로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,21,,nodelinkmanager2017010410,,,216.983640038
1550,1560068700,1560020600,1560021900,0,5.0,104,서재로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,21,,nodelinkmanager2017010410,,,216.983632442
1551,1560073000,1560023400,1560021900,0,5.0,104,서재로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,21,,nodelinkmanager2017010410,,,410.090634252
1552,1560072900,1560021900,1560023400,0,5.0,104,서재로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,21,,nodelinkmanager2017010410,,,410.090737798
1553,1560052000,1560018800,1560015900,0,1.0,104,장기공단길,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,-,,nodelinkmanager2017010410,,,460.455354975
1554,1560051900,1560015900,1560018800,0,1.0,104,장기공단길,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,-,,nodelinkmanager2017010410,,,462.907474402
1555,1560044000,1560013700,1560013600,0,1.0,104,갈산공원4길,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,-,,nodelinkmanager2017010410,,,360.751421251
1556,1560043900,1560013600,1560013700,0,1.0,104,갈산공원4길,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,-,,nodelinkmanager2017010410,,,360.751923169
1557,1560031700,1560010400,1560010600,0,3.0,104,성서공단로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,28,,nodelinkmanager2017010410,,,358.051346797
1558,1560031800,1560010600,1560010400,0,3.0,104,성서공단로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,28,,nodelinkmanager2017010410,,,358.050642057
1559,1560031400,1560010400,1560010300,0,3.0,104,성서공단로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,28,,nodelinkmanager2017010410,,,712.368782462
1560,1560061700,1560019000,1560019100,0,1.0,104,공단소방로,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,-,,nodelinkmanager2017010410,,,327.901789323
1561,1560061800,1560019100,1560019000,0,1.0,104,공단소방로,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,-,,nodelinkmanager2017010410,,,327.901291288
1562,1560062000,1560003201,1560019000,0,1.0,104,공단소방로,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,-,,nodelinkmanager2017010410,,,433.472657596
1563,1560061900,1560019000,1560003201,0,1.0,104,공단소방로,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,-,,nodelinkmanager2017010410,,,416.470282603
1564,1560059900,1560018400,1560003200,0,1.0,104,먹뱅이로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,23,,nodelinkmanager2017010410,,,522.478202461
1565,1560060000,1560003200,1560018400,0,1.0,104,먹뱅이로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,23,,nodelinkmanager2017010410,,,522.478183492
1566,1560043800,1560015600,1560013500,0,4.0,104,호림로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,21,,nodelinkmanager2017010410,,,262.920599268
1567,1560043700,1560013500,1560015600,0,4.0,104,호림로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,21,,nodelinkmanager2017010410,,,262.920502531
1568,1560035900,1560011400,1560011500,0,2.0,104,호림4길,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,-,,nodelinkmanager2017010410,,,412.442814752
1569,1560036000,1560011500,1560011400,0,2.0,104,호림4길,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,-,,nodelinkmanager2017010410,,,412.442314812
1570,1560030700,1560010100,1560010300,0,3.0,104,성서공단로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,28,,nodelinkmanager2017010410,,,570.998042365
1571,1560030800,1560010300,1560010100,0,3.0,104,성서공단로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,28,,nodelinkmanager2017010410,,,566.195220431
1572,1560025300,1560008500,1560008800,0,1.0,104,성서공단남로,0,000,60.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,-,,nodelinkmanager2017010410,,,664.502289408
1573,1560016300,1560000300,1560006600,0,2.0,104,진천로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,-,,nodelinkmanager2017010410,,,622.311535024
1574,1560016400,1560006600,1560000300,0,2.0,104,진천로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,-,,nodelinkmanager2017010410,,,622.4643081
1575,1560013500,1560005200,1560005600,0,1.0,104,진천새마을로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,-,,nodelinkmanager2017010410,,,942.16723206
1576,1560013600,1560005600,1560005200,0,1.0,104,진천새마을로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,-,,nodelinkmanager2017010410,,,950.74002665
1577,1560014600,1560005700,1560005600,0,2.0,104,대동시장로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,-,,nodelinkmanager2017010410,,,787.187624982
1578,1530001300,1530000600,1530001500,0,1.0,104,구승마장길,0,000,30.0,0,0.0,0.0,,nodelinkmanager,5,50000,153,000,-,,nodelinkmanager2017010410,,,543.413290927
1579,1530001400,1530001500,1530000600,0,1.0,104,구승마장길,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,153,000,-,,nodelinkmanager2017010410,,,543.413475063
1580,1530006700,1530002200,1530003500,0,1.0,104,대명역길,0,000,60.0,0,0.0,0.0,,nodelinkmanager,5,50000,153,000,-,,nodelinkmanager2017010410,,,486.141416621
1581,1530006800,1530003500,1530002200,0,1.0,104,대명역길,0,000,60.0,0,0.0,0.0,,nodelinkmanager,5,50000,153,000,-,,nodelinkmanager2017010410,,,486.141283519
1582,1560037300,1560011700,1560012600,0,2.0,104,당산로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,37,,nodelinkmanager2017010410,,,237.518978313
1583,1560037400,1560012600,1560011700,0,2.0,104,당산로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,37,,nodelinkmanager2017010410,,,237.519083382
1584,1560035600,1560011800,1560011300,0,4.0,104,구마로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,28,,nodelinkmanager2017010410,,,561.359807727
1585,1560035500,1560011300,1560011800,0,4.0,104,구마로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,28,,nodelinkmanager2017010410,,,561.360600626
1586,1560054000,1560016600,1560016500,0,2.0,104,장기로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,32,,nodelinkmanager2017010410,,,703.526009422
1587,1560053900,1560016500,1560016600,0,3.0,104,장기로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,32,,nodelinkmanager2017010410,,,703.525009414
1588,1560075900,1560022700,1520002500,0,1.0,104,용산큰못길,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,152,000,-,,nodelinkmanager2017010410,,,307.342898829
1589,1560076500,1560022900,1560002400,0,2.0,104,용산로,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,-,,nodelinkmanager2017010410,,,289.910494825
1590,1560076600,1560002400,1560022900,0,2.0,104,용산로,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,156,000,-,,nodelinkmanager2017010410,,,289.910393873
1591,1520009200,1520003500,1520003100,0,1.0,104,실타래2길,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,152,000,-,,nodelinkmanager2017010410,,,457.807682431
1592,1520009100,1520003100,1520003500,0,1.0,104,실타래2길,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,152,000,-,,nodelinkmanager2017010410,,,459.3601196
1593,1520011400,1520004800,1520003800,0,1.0,104,배틀4길,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,152,000,-,,nodelinkmanager2017010410,,,914.191741902
1594,1540061000,1540021200,1540020800,0,2.0,104,산업용재로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,-,,nodelinkmanager2017010410,,,213.759651111
1595,1540056000,1540020800,1540019100,0,1.0,104,청소년회관길,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,-,,nodelinkmanager2017010410,,,429.20741141
1596,1540055900,1540019100,1540020800,0,1.0,104,청소년회관길,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,-,,nodelinkmanager2017010410,,,436.502268067
1597,1540057600,1540019600,1540020300,0,2.0,104,산업용재로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,-,,nodelinkmanager2017010410,,,312.981034775
1598,1540057700,1540020300,1540019600,0,2.0,104,산업용재로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,-,,nodelinkmanager2017010410,,,308.998239706
1599,1540061100,1540020900,1540021300,0,4.0,104,유통로,0,000,60.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,65,,nodelinkmanager2017010410,,,306.94629695
1600,1540061200,1540021300,1540020900,0,4.0,104,유통로,0,000,60.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,65,,nodelinkmanager2017010410,,,306.945902272
1601,1510024800,1510008800,1510010200,0,2.0,104,한골로,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,340.186918661
1602,1510024900,1510010200,1510008800,0,1.0,104,한골로,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,340.186929549
1603,1510019500,1510009900,1510007100,0,1.0,104,동대구로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,77,,nodelinkmanager2017010410,,,926.768136072
1604,1510019400,1510007100,1510009900,0,4.0,104,동대구로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,77,,nodelinkmanager2017010410,,,918.928202458
1605,1550015700,1550000200,1550006500,0,1.0,104,수성못길,0,000,60.0,0,0.0,0.0,,nodelinkmanager,5,50000,155,000,-,,nodelinkmanager2017010410,,,1065.20012288
1606,1550011000,1550005200,1550005100,0,3.0,104,-,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,155,000,-,,nodelinkmanager2017010410,,,579.856572544
1607,1550010900,1550005100,1550005200,0,3.0,104,-,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,155,000,-,,nodelinkmanager2017010410,,,566.705088023
1608,1550036400,1550012000,1550012100,0,1.0,104,진리6길,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,155,000,-,,nodelinkmanager2017010410,,,204.049965123
1609,1510016400,1510007500,1510000500,0,1.0,104,안심1길,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,384.862068106
1610,1510016300,1510000500,1510007500,0,1.0,104,안심1길,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,385.569393556
1611,1510012700,1510005600,1510005700,0,1.0,104,-,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,401.805698946
1612,1510012800,1510005700,1510005600,0,1.0,104,-,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,401.805090077
1613,1510022200,1510007900,1510008100,0,2.0,104,반야월로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,399.12204891
1614,1510022300,1510008100,1510007900,0,2.0,104,반야월로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,399.122648901
1615,1540067100,1540022800,1540023400,0,1.0,104,서변3로,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,-,,nodelinkmanager2017010410,,,389.209031784
1616,1550026900,1550009100,1550010100,0,2.0,104,신천동로,0,000,60.0,0,0.0,0.0,,nodelinkmanager,5,50000,155,000,13,,nodelinkmanager2017010410,,,224.402325941
1617,1550030400,1550010100,1550009600,0,1.0,104,신천동로,0,000,60.0,0,0.0,0.0,,nodelinkmanager,5,50000,155,000,13,,nodelinkmanager2017010410,,,105.792790112
1618,1510013200,1510000200,1510005700,0,2.0,104,-,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,79.1154172076
1619,1510013100,1510005700,1510000200,0,2.0,104,-,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,79.1155169926
1620,1510014200,1510000701,1510005800,0,3.0,104,-,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,223.77357773
1621,1540085700,1540028300,1540029300,0,4.0,104,호곡로,0,000,80.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,33,,nodelinkmanager2017010410,,,821.865586337
1622,1540085800,1540029300,1540028300,0,4.0,104,호곡로,0,000,80.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,33,,nodelinkmanager2017010410,,,811.95143057
1623,1540084800,1540028300,1540028000,1,3.0,104,호곡로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,33,,nodelinkmanager2017010410,,,147.150185246
1624,1540084700,1540028000,1540028300,0,3.0,104,호곡로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,33,,nodelinkmanager2017010410,,,150.400515297
1625,1540084600,1540028300,1540027900,0,3.0,104,호곡로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,33,,nodelinkmanager2017010410,,,142.412449431
1626,1540084500,1540027900,1540028300,1,3.0,104,호곡로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,33,,nodelinkmanager2017010410,,,139.658338036
1627,1540077100,1540025800,1540026600,0,2.0,104,동천로,0,000,30.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,-,,nodelinkmanager2017010410,,,253.708049806
1628,1540074800,1540025800,1540025300,0,2.0,104,구암공원길,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,-,,nodelinkmanager2017010410,,,485.068124716
1629,1540074700,1540025300,1540025800,0,2.0,104,구암공원길,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,-,,nodelinkmanager2017010410,,,494.196048171
1630,1540085500,1540028200,1540028900,0,3.0,104,구암로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,74,,nodelinkmanager2017010410,,,352.646804506
1631,1540085600,1540028900,1540028200,0,3.0,104,구암로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,74,,nodelinkmanager2017010410,,,352.646521937
1632,1540069600,1540023800,1540023700,0,1.0,104,동변2로,0,000,30.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,-,,nodelinkmanager2017010410,,,225.723332492
1633,1540068300,1540023300,1540023700,0,2.0,104,동변3로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,-,,nodelinkmanager2017010410,,,314.380961742
1634,1540068400,1540023700,1540023300,0,2.0,104,동변3로,0,000,30.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,-,,nodelinkmanager2017010410,,,314.380936187
1635,1540066100,1540022500,1540023800,0,1.0,104,동변로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,-,,nodelinkmanager2017010410,,,594.453037456
1636,1540066200,1540023800,1540022500,0,1.0,104,동변로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,-,,nodelinkmanager2017010410,,,582.453785633
1637,1540066000,1540023300,1540022500,0,2.0,104,동변3로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,-,,nodelinkmanager2017010410,,,187.174760642
1638,1540065900,1540022500,1540023300,0,2.0,104,동변3로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,154,000,-,,nodelinkmanager2017010410,,,187.17476865
1639,1510020400,1510007400,1510007500,0,1.0,104,안심중앙길,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,567.022797794
1640,1510020500,1510007500,1510007400,0,1.0,104,안심중앙길,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,567.023592641
1641,1510020300,1510007500,1510000600,0,1.0,104,안심중앙길,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,313.923165209
1642,1510020200,1510000600,1510007500,0,1.0,104,안심중앙길,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,304.678458135
1643,1510042200,1510014600,1510009600,0,5.0,104,-,0,000,80.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,298.804272507
1644,1510023500,1510014600,1510001501,0,5.0,104,-,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,615.289859367
1645,1510027900,1510010100,1510001600,1,1.0,104,신덕로,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,50,,nodelinkmanager2017010410,,,197.391130384
1646,1550034300,1550012100,1550011400,0,1.0,104,-,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,155,000,-,,nodelinkmanager2017010410,,,141.443310929
1647,1550017000,1550006900,1550006700,0,2.0,104,은빛1길,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,155,000,-,,nodelinkmanager2017010410,,,95.5683736247
1648,1550016900,1550006700,1550006900,0,2.0,104,은빛1길,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,155,000,-,,nodelinkmanager2017010410,,,95.5683736243
1649,1530015300,1530004700,1530005400,0,1.0,104,봉삼중앙길,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,153,000,-,,nodelinkmanager2017010410,,,518.553139369
1650,1530015400,1530005400,1530004700,0,4.0,104,봉삼중앙길,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,153,000,-,,nodelinkmanager2017010410,,,539.447569017
1651,1510023900,1510009000,1510008500,0,4.0,104,화랑로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,50,,nodelinkmanager2017010410,,,134.645081125
1652,1510023800,1510008500,1510009000,0,4.0,104,화랑로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,50,,nodelinkmanager2017010410,,,134.645220815
1653,1510024000,1510008500,1510010600,0,2.0,104,동구시장로,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,456.110759532
1654,1510024100,1510010600,1510008500,0,2.0,104,동구시장로,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,456.110702185
1655,1510022500,1510008500,1510008000,0,4.0,104,화랑로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,50,,nodelinkmanager2017010410,,,381.787671601
1656,1510022400,1510008000,1510008500,0,1.0,104,화랑로,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,50,,nodelinkmanager2017010410,,,381.788270271
1657,1510022600,1510008000,1510011000,0,3.0,104,효목로,0,000,60.0,0,0.0,0.0,,nodelinkmanager,5,50000,151,000,-,,nodelinkmanager2017010410,,,724.265564828
1658,1550048600,1550004700,1550015800,0,1.0,104,충의로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,155,000,-,,nodelinkmanager2017010410,,,330.838019588
1659,1550048700,1550015800,1550004700,0,1.0,104,충의로,0,000,50.0,0,0.0,0.0,,nodelinkmanager,5,50000,155,000,-,,nodelinkmanager2017010410,,,333.405634852
1660,1550050700,1550015800,1550016300,0,1.0,104,충의로,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,155,000,-,,nodelinkmanager2017010410,,,367.594147207
1661,1550050800,1550016300,1550015800,0,1.0,104,충의로,0,000,40.0,0,0.0,0.0,,nodelinkmanager,5,50000,155,000,-,,nodelinkmanager2017010410,,,368.331035896
1662,1550052400,1550016300,1550016600,0,3.0,104,국채보상로,0,000,70.0,0,0.0,0.0,,nodelinkmanager,5,50000,155,000,50,,nodelinkmanager2017010410,,,181.272677434
