,LINK_ID,Source,Target,MAX_SPD
269,1550067300,1550007700,1550019300,40.0
270,1550067400,1550008000,1550019300,40.0
271,1550068200,1550008900,1550019600,40.0
272,1550068300,1550009000,1550019600,40.0
273,1550068400,1550019300,1550019400,40.0
274,1550068500,1550019400,1550019300,40.0
275,1550068600,1550019500,1550019600,40.0
276,1550068700,1550019600,1550019500,40.0
277,1550068800,1550008700,1550019500,40.0
278,1510063100,1510015300,1510005500,60.0
279,1510063200,1510015300,1510006300,60.0
280,1510063300,1510019900,1510020000,30.0
281,1510063400,1510019900,1510019800,30.0
282,1510063500,1510019800,1510019900,30.0
283,1510063600,1510020000,1510019900,30.0
284,1540096900,1540004900,1540004800,100.0
285,1510047200,1510018700,1510004600,100.0
286,1510047300,1510004600,1540004900,100.0
287,1520025900,1520007900,1520007700,40.0
288,1520026000,1520007700,1520007300,40.0
289,1520026100,1520007500,1520007800,30.0
290,1520026200,1520007800,1520008000,30.0
291,1520026300,1520008000,1520007800,30.0
292,1520026400,1520007800,1520007500,30.0
293,1540103700,1540030700,1540016100,30.0
294,1540103800,1540030400,1540013200,30.0
295,1540103900,1540013200,1540030400,30.0
296,1540104000,1540030300,1540030500,50.0
297,1540104100,1540030500,1540030300,50.0
298,1500028500,1500002500,1500007500,50.0
299,1560088200,1560024600,1560024800,30.0
300,1560088300,1560024800,1560024600,30.0
301,1560088400,1560025000,1560024600,30.0
302,1560088500,1560024600,1560024500,30.0
303,1560088600,1560024500,1560024600,30.0
304,1560088700,1560024600,1560025000,30.0
305,1500029000,1500007700,1500007400,30.0
306,1500029100,1500007700,1500008100,30.0
307,1500029200,1500008100,1500007700,30.0
308,1500029300,1500008500,1500004800,30.0
309,1500029400,1500004800,1500008500,30.0
310,1500029500,1500007900,1500008300,30.0
311,1530025200,1530008400,1530007300,60.0
312,1530025300,1530007300,1530008400,60.0
313,1500026000,1530008400,1500001400,60.0
314,1550055100,1550012000,1550020300,40.0
315,1550055200,1550020300,1550003400,60.0
316,1550055300,1550003400,1550020300,60.0
317,1550055400,1550020300,1550012000,40.0
318,1500027400,1500008100,1500003200,30.0
319,1500027500,1500003200,1500008100,30.0
320,1500027600,1500008100,1500003300,30.0
321,1500027700,1500003200,1500007900,30.0
322,1500027800,1500007900,1500003100,30.0
323,1500027900,1500003100,1500007900,30.0
324,1500028000,1500007900,1500003200,30.0
325,1500026700,1500000200,1500007400,70.0
326,1500026800,1500007400,1500000400,70.0
327,1500026900,1500003300,1500007700,30.0
328,1500027200,1500007700,1500003300,30.0
329,1500027300,1500003300,1500008100,30.0
330,1500028100,1500004200,1500008300,60.0
331,1500028200,1500008300,1500003900,60.0
332,1500029900,1500003900,1500008300,60.0
333,1500030000,1500008300,1500004200,60.0
334,1500030100,1500004200,1500008500,30.0
335,1500030200,1500008500,1500006000,30.0
336,1500030300,1500006000,1500008500,30.0
337,1500030400,1500008500,1500004200,30.0
338,1510054200,1510006500,1510015900,70.0
339,1510054300,1510015900,1510008300,70.0
340,1510054400,1510008300,1510015900,70.0
341,1510054500,1510015900,1510006500,70.0
342,1510054600,1510006400,1510016000,60.0
343,1510054700,1510016000,1510007800,60.0
344,1500031000,1500009600,1500007100,60.0
345,1500031100,1500008800,1500009300,50.0
346,1500031200,1500009300,1500009600,50.0
347,1500031300,1500009600,1500009300,50.0
348,1500031400,1500009300,1500008800,50.0
349,1500031500,1500009300,1500006600,50.0
350,1500031600,1500009300,1500006100,50.0
351,1500031700,1500006100,1500009300,50.0
352,1500031800,1500006600,1500009300,50.0
353,1500031900,1500005500,1500009000,60.0
354,1500032000,1500006600,1500009000,60.0
355,1500032100,1500009000,1500006600,60.0
356,1500032200,1500009000,1500005500,60.0
357,1500032300,1500009500,1500006800,70.0
358,1500032400,1500009500,1500006900,70.0
359,1500032500,1500006900,1500009500,70.0
360,1500032600,1500006800,1500009500,70.0
361,1500032700,1500009400,1500009500,50.0
362,1500032800,1500009500,1500009400,50.0
363,1500032900,1500009400,1500006700,50.0
364,1500033000,1500009400,1500006600,50.0
365,1500033800,1500009400,1500009100,50.0
366,1500033900,1500008900,1500009100,50.0
367,1500034000,1500009100,1500008900,50.0
368,1500034100,1500008900,1500005500,30.0
369,1500034200,1500008900,1500005700,30.0
370,1500034300,1500005700,1500008900,30.0
371,1500034400,1500005500,1500008900,30.0
372,1500034500,1500008600,1500008900,50.0
373,1500034600,1500008900,1500008600,50.0
374,1500034700,1500005400,1500008600,60.0
375,1500034800,1500004700,1500008600,60.0
376,1500034900,1500008600,1500004700,60.0
377,1500035000,1500008600,1500005400,60.0
378,1500035100,1500007800,1500008200,50.0
379,1500035200,1500008200,1500008600,50.0
380,1500035300,1500008600,1500008200,50.0
381,1500035400,1500008200,1500007800,50.0
382,1500035500,1500008200,1500004500,50.0
383,1500035600,1500008200,1500003400,50.0
384,1500035700,1500003400,1500008200,50.0
385,1500035800,1500004500,1500008200,50.0
386,1500036600,1500008000,1500003400,50.0
387,1500036700,1500000500,1500007600,70.0
388,1500036800,1500000700,1500007600,70.0
389,1500036900,1500007600,1500000700,70.0
390,1500037000,1500007600,1500000500,70.0
391,1500037100,1500005700,1500009200,60.0
392,1500037200,1500006700,1500009200,60.0
393,1500037300,1500009200,1500006700,60.0
394,1500037400,1500009200,1500005700,60.0
395,1500037500,1500008700,1500004600,60.0
